40735,A1a,-,46,883,48,720,1,837,W?ZE? GORZYCE-GRANICA PA?STWA ,9063,29,5100,907,176,2782,69,0,0,24,35
31514,A2,E30,1,995,21,44,19,49,W?ZE? ?WIECKO /DK 29/- W?ZE? RZEPIN /DK 92b/ ,19646,28,8984,1868,636,8039,91,0,0,8,36
31515,A2,E30,21,44,35,387,14,343,W?ZE? RZEPIN /DK 92b/-W?ZE? TORZYM /DW138/ ,13793,18,8276,1172,226,4010,91,0,0,8,37
31516,A2,E30,35,387,68,711,33,324,W?ZE? TORZYM /DW138/-W?ZE? JORDANOWO /S3/ ,14229,15,7977,1554,231,4372,80,0,0,8,38
31517,A2,E30,68,711,91,807,23,96,W?ZE? JORDANOWO /S3/-W?ZE? TRZCIEL /DP1339F/ ,19486,29,13342,1425,239,4348,103,0,0,8,39
90829,A2,E30,91,807,107,630,15,823,W?ZE? TRZCIEL /DP1339F/-W?ZE? NOWY TOMY?L ,19657,38,12599,1585,620,4714,101,0,0,30,40
90823,A2,E30,107,630,140,194,32,564,NOWY TOMY?L/W?ZE?/-BUK/W?ZE?/ ,20642,41,13212,1712,609,4972,95,1,0,30,41
90825,A2,E30,140,194,154,129,13,935,BUK/W?ZE?/-POZNA? ZACH?D /W?ZE?/ ,21482,37,13453,2309,586,4996,101,0,0,30,42
90824,A2,E30,154,129,159,363,5,234,POZNA? ZACH?D/W?ZE?/-POZNA? KOMORNIKI/W?ZE?/ ,45651,46,27836,3834,2242,11570,123,0,0,30,43
90916,A2,E30/E261,159,363,163,835,4,472,POZNA? KOMORNIKI/W?ZE?/- POZNA? LUBO? /W?ZE?/ ,60831,76,41861,5104,2351,11294,143,2,0,30,44
90917,A2,E30/E261,163,835,170,516,6,681,POZNA? LUBO? /W?ZE?/-POZNA? KRZESINY/W?ZE?/ ,61932,54,42580,5759,2388,11006,145,0,0,30,45
90327,A2,E30/E261,170,516,179,970,9,454,POZNA? KRZESINY/W?ZE?/-POZNAN WSCH?D /W?ZE?/ ,38593,52,23813,3887,1248,9442,151,0,0,30,46
90318,A2,E30,179,970,209,313,29,343,POZNA? WSCH?D /W?ZE?/-WRZE?NIA/W?ZE?/ ,17898,24,12106,1456,457,3767,88,0,1,30,47
90317,A2,E30,209,313,230,590,21,277,WRZE?NIA/W?ZE?/-S?UPCA/W?ZE?/ ,22272,26,13143,1960,626,6417,100,0,0,30,48
90634,A2,E30,230,590,243,671,13,81,S?UPCA/W?ZE?/-S?UGOCIN/W?ZE?/ ,21380,25,12835,1863,598,5961,98,0,0,30,49
90621,A2,E30,243,671,257,219,13,548,S?UGOCIN/W?ZE?/-MOD?A/W?ZE?/ ,24991,27,15822,2302,940,5810,90,0,0,30,50
90623,A2,E30,257,219,261,850,4,631,MOD?A/W?ZE?/-KONIN WSCH?D/W?ZE?/ ,23870,30,14090,2106,727,6841,76,0,0,30,51
90624,A2,E30,261,850,285,821,23,971,KONIN WSCH?D/W?ZE?/-KO?O/W?ZE?/ ,23113,25,13845,2099,715,6329,100,0,0,30,52
90625,A2,E30,285,821,302,642,16,821,KO?O-D?BIE ,22687,30,13865,1685,839,6176,92,0,0,30,53
91117,A2,E30,302,642,320,334,17,692,D?BIE -W?ZE? WARTKOWICE ,22362,31,13273,2066,666,6229,97,0,0,10,54
91118,A2,E30,320,334,344,6,23,672,W?ZE? WARTKOWICE-W?ZE? EMILIA ,22279,27,13146,1699,998,6312,97,0,0,10,55
91613,A2,E30,344,6,349,155,5,149,W?ZE? EMILIA-W?ZE? ZGIERZ ,20554,25,12478,1680,580,5710,81,0,1,10,56
91614,A2,E30,349,155,360,442,11,287,W?ZE? ZGIERZ-W?ZE? STRYK?W ,22740,32,13509,2313,688,6103,95,0,1,10,57
91823,A2,E30/E75,360,442,363,568,3,126,W?ZE? STRYK?W- W?ZE? ??D? P?NOC ,41792,74,29091,3302,1138,7976,211,0,1,10,58
91824,A2,E30,363,568,385,952,22,384,W?ZE? ??D? P?NOC-W?ZE? ?OWICZ ,38885,53,28316,2778,923,6631,184,0,0,10,59
91825,A2,E30,385,952,398,96,12,144,W?ZE? ?OWICZ-W?ZE? SKIERNIEWICE ,38726,46,27933,2990,987,6587,183,0,1,10,60
91826,A2,E30,398,96,420,38,21,942,W?ZE? SKIERNIEWICE -W?ZE? WISKITKI ,40829,63,29852,3274,963,6474,203,0,1,10,61
